Country or Area,Internet Users,Population,Rank,Percentage,Rank_pct
Bosnia and Herzegovina,2437026,3507017,109,0.69,80
Panama,2371852,4098587,110,0.58,106
Georgia,2366406,3912061,111,0.60,100
Uruguay,2360269,3456750,112,0.68,82
Mali,2358540,18541980,113,0.13,190
Kyrgyzstan,2309235,6045117,114,0.38,139
Lithuania,2243448,2890297,115,0.78,58
Niger,2194985,21477348,116,0.10,197
Albania,2105339,2930187,117,0.72,73
Armenia,2043110,2930450,118,0.70,78
El Salvador,1993079,6377853,119,0.31,152
Tajikistan,1959127,8921343,120,0.22,171
Laos,1749517,6858160,121,0.26,167
Nicaragua,1732218,6217581,122,0.28,159
Slovenia,1640893,2079976,123,0.79,55
Macedonia,1589659,2083160,124,0.76,62
Latvia,1585471,1949670,125,0.81,45
Benin,1578008,11175692,126,0.14,187
Guinea,1449758,12717176,127,0.11,195
Bahrain,1431090,1492584,128,0.96,14
Jamaica,1409888,2890299,129,0.49,127
Libya,1387116,6374616,130,0.22,173
Haiti,1353986,10981229,131,0.12,192
Turkmenistan,1223591,5758075,132,0.21,175
Estonia,1153786,1309632,133,0.88,26
Trinidad and Tobago,1058744,1369125,134,0.77,59
Gabon,1019049,2025137,135,0.50,120
South Sudan,1003542,12575714,136,0.08,202
Sierra Leone,1000575,7557212,137,0.13,189
Chad,968500,14899994,138,0.07,204
Togo,963795,7797694,139,0.12,191
Cyprus,952369,1179551,140,0.81,47
Botswana,948977,2291661,141,0.41,135
Namibia,933450,2533794,142,0.37,143
Papua New Guinea,924955,8251162,143,0.11,196
Mauritania,919398,4420184,144,0.21,176
Mongolia,729236,3075647,145,0.24,169
Mauritius,702911,1265138,146,0.56,113
Lesotho,665312,2233339,147,0.30,157
Burundi,607311,10864245,148,0.06,205
Luxembourg,570794,583455,149,0.98,6
Djibouti,532849,956985,150,0.56,112
Macau,517789,622567,151,0.83,37
Republic of the Congo,455055,5260750,152,0.09,199
Fiji,452479,905502,153,0.50,121
Montenegro,448260,628960,154,0.71,75
The Gambia,416753,2100568,155,0.20,178
Swaziland,414278,1367254,156,0.30,155
Brunei,406705,428697,157,0.95,16
Bhutan,388541,807610,158,0.48,129
Liberia,377607,4731906,159,0.08,203
Timor Leste,356356,1296311,160,0.27,162
Malta,344970,430835,161,0.80,53
The Bahamas,336057,395361,162,0.85,32
Equatorial Guinea,332642,1267689,163,0.26,165
Iceland,329196,335025,164,0.98,3
Cabo Verde,312315,546388,165,0.57,108
Somalia,294851,14742523,166,0.02,208
Guyana,290375,777859,167,0.37,142
Suriname,275785,563402,168,0.49,126
Maldives,275717,436330,169,0.63,95
Barbados,233604,285719,170,0.82,41
New Caledonia,226557,276255,171,0.82,40
French Polynesia,205746,283007,172,0.73,72
Central African Republic,202204,4659080,173,0.04,206
Belize,176400,374681,174,0.47,131
Guam,132221,164229,175,0.81,49
Aruba,102285,105264,176,0.97,8
Saint Lucia,90889,178844,177,0.51,119
Antigua and Barbuda,77529,102012,178,0.76,65
Andorra,76095,76965,179,0.99,1
Guinea-Bissau,73148,1861283,180,0.04,207
Solomon Islands,72872,611343,181,0.12,193
Saint Vincent and the Grenadines,72048,109897,182,0.66,86
Vanuatu,71050,276244,183,0.26,166
Comoros,69020,813912,184,0.08,201
U.S. Virgin Islands,67535,104901,185,0.64,90
Eritrea,66402,5068831,186,0.01,209
Samoa,66023,196440,187,0.34,149
Grenada,63692,107825,188,0.59,104
São Tomé and Príncipe,61155,204327,189,0.30,156
Bermuda,60349,61349,190,0.98,2
Seychelles,55677,94737,191,0.59,105
Dominica,51467,73925,192,0.70,79
Cayman Islands,49906,61559,193,0.81,46
Faroe Islands,48097,49290,194,0.98,7
Saint Kitts and Nevis,44669,55345,195,0.81,48
Tonga,44558,108020,196,0.41,136
Greenland,39242,56480,197,0.69,81
Jersey,38958,165314,198,41.03% (2012),-
Monaco,37553,38695,199,0.97,10
"Micronesia, Federated States of",37257,105544,200,0.35,144
Liechtenstein,37201,37922,201,0.98,4
Gibraltar,32494,34571,202,94.44% (2016),-
Marshall Islands,20560,53127,203,0.39,138
San Marino,20100,33400,204,0.60,102
Kiribati,16971,116398,205,0.15,185
British Virgin Islands,14456,31196,206,37.60% (2012),141
Anguilla,12043,14909,207,81.57% (2016),44
Nauru,6475,11359,208,0.57,110
Tuvalu,5520,11192,209,0.49,124
Saint Helena,2906,4534,210,37.60% (2012),-
Falkland Islands,2881,2910,211,99.02% (2016),-
Montserrat,2833,5177,212,54.55% (2013),115
Wallis and Futuna,1383,11773,213,8.95% (2012),-
Niue,1034,1618,214,86.90% (2013),30
Ascension,361,806,215,41.03% (2012),-
