Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
RENAULT LOGAN,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,33963 km,Rio de Janeiro - RJ,Loja,R$ 59530
RENAULT DUSTER,2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO,Y,2012/2013,86700 km,Itapeva - SP,Loja,R$ 48000
RENAULT DUSTER,1.6 DAKAR 4X2 16V FLEX 4P MANUAL,N,2016/2016,72000 km,Feira de Santana - BA,Loja,R$ 56999
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2020/2020,39182 km,Belo Horizonte - MG,Loja,R$ 93990
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX AUTOMÁTICO,Y,2019/2020,22295 km,Porto Alegre - RS,Concessionária,R$ 110990
CHEVROLET SPIN,1.8 PREMIER 8V FLEX 4P AUTOMÁTICO,Y,2019/2020,58959 km,Salvador - BA,Loja,R$ 87890
RENAULT DUSTER,1.6 16V SCE FLEX EXPRESSION MANUAL,N,2020/2020,94846 km,São José do Rio Preto - SP,Loja,R$ 72490
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2020/2021,20019 km,Rio de Janeiro - RJ,Loja,R$ 102630
CHEVROLET SPIN,1.8 PREMIER 8V FLEX 4P AUTOMÁTICO,Y,2020/2021,26166 km,São Paulo - SP,Loja,R$ 102990
NISSAN KICKS,1.6 16V FLEXSTART SL 4P XTRONIC,Y,2018/2019,46075 km,Florianópolis - SC,Loja,R$ 94990
VOLKSWAGEN NIVUS,1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2020/2021,17000 km,Conselheiro Lafaiete - MG,Loja,R$ 113900
CHEVROLET SPIN,1.8 PREMIER 8V FLEX 4P AUTOMÁTICO,Y,2021/2022,6800 km,São Paulo - SP,Loja,R$ 105990
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2019/2020,46339 km,Brasília - DF,Loja,R$ 94990
CHEVROLET SPIN,1.8 PREMIER 8V FLEX 4P AUTOMÁTICO,Y,2019/2020,34861 km,Salvador - BA,Loja,R$ 90600
NISSAN KICKS,1.6 16V FLEXSTART SL 4P XTRONIC,Y,2016/2017,63100 km,Praia Grande - SP,Loja,R$ 84990
CHEVROLET SPIN,1.8 PREMIER 8V FLEX 4P AUTOMÁTICO,Y,2019/2020,39582 km,Rio de Janeiro - RJ,Loja,R$ 88880
VOLKSWAGEN SPACEFOX,1.6 MI TREND 8V FLEX 4P MANUAL,N,2013/2013,121600 km,Porto Alegre - RS,Loja,R$ 41900
CHEVROLET SPIN,1.8 PREMIER 8V FLEX 4P AUTOMÁTICO,Y,2020/2021,24845 km,Ribeirão Preto - SP,Loja,R$ 102990
PEUGEOT 2008,1.6 16V FLEX GRIFFE 4P AUTOMÁTICO,Y,2017/2017,55000 km,Serra - ES,Loja,R$ 64455
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2018/2019,36853 km,São Paulo - SP,Concessionária,R$ 125900
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2021/2021,100 km,Bauru - SP,Loja,R$ 95800
NISSAN KICKS,1.6 16V FLEXSTART SV 4P XTRONIC,Y,2018/2018,84000 km,Joaçaba - SC,Loja,R$ 85900
FIAT DOBLÒ,1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL,N,2019/2020,82898 km,Toledo - PR,Concessionária,R$ 79900
CHEVROLET COBALT,1.8 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,Y,2019/2019,50107 km,Brasília - DF,Loja,R$ 64990
FORD ECOSPORT,1.5 TI-VCT FLEX FREESTYLE AUTOMÁTICO,Y,2019/2020,71795 km,Brasília - DF,Loja,R$ 82990
CITROËN C3 PICASSO,1.5 FLEX GLX MANUAL,N,2013/2014,53826 km,Matozinhos - MG,Loja,R$ 29900
VOLKSWAGEN T-CROSS,1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2020/2021,20000 km,Medianeira - PR,Loja,R$ 142900
CHEVROLET ONIX,1.0 TURBO FLEX PLUS LT AUTOMÁTICO,Y,2019/2020,60000 km,São José dos Campos - SP,Loja,R$ 78900
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2019/2019,50191 km,Juiz de Fora - MG,Loja,R$ 92900
NISSAN KICKS,1.6 16V FLEXSTART EXCLUSIVE XTRONIC,Y,2021/2022,0 km,São Paulo - SP,Loja,R$ 123990
TOYOTA COROLLA CROSS,1.8 VVT-I HYBRID FLEX SPECIAL EDITION CVT,Y,2021/2022,0 km,Canoas - RS,Loja,R$ 209990
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2021/2021,0 km,São José dos Campos - SP,Loja,R$ 99900
NISSAN KICKS,1.6 16V FLEXSTART SENSE XTRONIC,Y,2021/2022,0 km,Santos - SP,Loja,R$ 108890
FIAT DOBLÒ,1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL,N,2019/2020,59715 km,João Monlevade - MG,Loja,R$ 78000
TOYOTA COROLLA CROSS,2.0 VVT-IE FLEX XR DIRECT SHIFT,Y,2021/2022,0 km,Boituva - SP,Loja,R$ 166000
CHEVROLET SPIN,1.8 LS 8V FLEX 4P MANUAL,N,2019/2020,87920 km,Brasília - DF,Loja,R$ 61900
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2019/2020,15000 km,Campinas - SP,Loja,R$ 92990
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX AUTOMÁTICO,Y,2021/2021,0 km,Santo André - SP,Loja,R$ 114990
NISSAN KICKS,1.6 16V FLEXSTART SENSE XTRONIC,Y,2021/2022,0 km,São Paulo - SP,Loja,R$ 102880
TOYOTA COROLLA CROSS,1.8 VVT-I HYBRID FLEX SPECIAL EDITION CVT,Y,2021/2022,0 km,São Paulo - SP,Loja,R$ 207900
TOYOTA ETIOS,1.5 XLS SEDAN 16V FLEX 4P AUTOMÁTICO,Y,2018/2019,54000 km,Blumenau - SC,Loja,R$ 66900
FORD ECOSPORT,1.6 SE 16V FLEX 4P MANUAL,N,2017/2017,80000 km,Sumaré - SP,Loja,R$ 59900
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX SENSE AUTOMÁTICO,Y,2019/2020,35000 km,Tijucas - SC,Loja,R$ 103850
NISSAN KICKS,1.6 16V FLEXSTART SL 4P XTRONIC,Y,2016/2017,57000 km,Serra - ES,Loja,R$ 86990
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2018/2018,76000 km,Ponta Grossa - PR,Loja,R$ 99900
HONDA HR-V,1.5 16V TURBO GASOLINA TOURING 4P AUTOMÁTICO,Y,2019/2020,27000 km,Piracicaba - SP,Loja,R$ 144900
JEEP RENEGADE,2.0 16V TURBO DIESEL LONGITUDE 4P 4X4 AUTOMÁTICO,Y,2019/2019,58000 km,Sorocaba - SP,Loja,R$ 129990
FORD ECOSPORT,1.6 SE 16V FLEX 4P POWERSHIFT,Y,2016/2017,70000 km,Rio de Janeiro - RJ,Loja,R$ 58990
CHEVROLET ONIX,1.0 TURBO FLEX PLUS LT AUTOMÁTICO,Y,2020/2020,59439 km,Araraquara - SP,Loja,R$ 76990
