Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
FIAT ARGO,1.3 FIREFLY FLEX DRIVE MANUAL,N,2019/2019,23557 km,Joaçaba - SC,Loja,R$ 59900
CHEVROLET PRISMA,1.4 MPFI LT 8V FLEX 4P MANUAL,N,2016/2017,38000 km,Limeira - SP,Loja,R$ 55490
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2019/2019,19340 km,Osasco - SP,Loja,R$ 56790
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2019/2020,40350 km,Porto Alegre - RS,Loja,R$ 44590
VOLKSWAGEN UP,1.0 MPI TOTAL FLEX 4P MANUAL,N,2019/2020,24000 km,Atibaia - SP,Loja,R$ 53900
HYUNDAI HB20,1.0 12V FLEX VISION MANUAL,N,2021/2022,0 km,Boituva - SP,Loja,R$ 66500
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2020,62500 km,Campo Grande - MS,Loja,R$ 40900
CHEVROLET ONIX,1.0 TURBO FLEX LTZ AUTOMÁTICO,Y,2020/2021,7269 km,Uberlândia - MG,Concessionária,R$ 87900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2017/2018,56200 km,Recife - PE,Loja,R$ 46900
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2018/2019,45000 km,São Carlos - SP,Loja,R$ 51890
FORD KA,1.0 TI-VCT FLEX SE PLUS MANUAL,N,2019/2020,65465 km,Joinville - SC,Loja,R$ 55900
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2019/2020,5831 km,Brasília - DF,Loja,R$ 51000
FIAT ARGO,1.3 FIREFLY FLEX TREKKING MANUAL,N,2020/2020,61000 km,Major Vieira - SC,Loja,R$ 69000
HYUNDAI HB20,1.0 12V FLEX VISION MANUAL,N,2021/2022,0 km,Manaus - AM,Loja,R$ 69990
VOLKSWAGEN UP,1.0 TSI MOVE UP 12V FLEX 4P MANUAL,N,2018/2019,66345 km,Belo Horizonte - MG,Loja,R$ 55900
NISSAN MARCH,1.0 SV 12V FLEX 4P MANUAL,N,2018/2019,47775 km,Brasília - DF,Loja,R$ 44500
VOLKSWAGEN CROSS UP,1.0 TSI 12V FLEX 4P MANUAL,N,2018/2018,56000 km,Jaú - SP,Loja,R$ 57500
RENAULT KWID,1.0 12V SCE FLEX OUTSIDER MANUAL,N,2019/2020,13000 km,Rio de Janeiro - RJ,Loja,R$ 50900
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2018/2019,56800 km,Brasília - DF,Loja,R$ 50900
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2019/2019,47000 km,Joinville - SC,Loja,R$ 54900
NISSAN MARCH,1.0 S 12V FLEX 4P MANUAL,N,2015/2016,67000 km,Sorocaba - SP,Loja,R$ 39990
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2018/2018,35795 km,Rio do Sul - SC,Loja,R$ 52900
CHEVROLET JOY,1.0 SPE4 FLEX MANUAL,N,2019/2020,47000 km,Caraguatatuba - SP,Loja,R$ 52900
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2020,15000 km,Jundiaí - SP,Loja,R$ 89900
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2019/2020,43448 km,Jaraguá do Sul - SC,Loja,R$ 57900
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2018/2019,63562 km,Piedade - SP,Loja,R$ 51900
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2021/2021,100 km,Americana - SP,Loja,R$ 56990
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2017/2018,103655 km,Balneário Camboriú - SC,Loja,R$ 41900
PEUGEOT 208,1.6 16V FLEX ALLURE AT6,Y,2021/2022,0 km,Santos - SP,Concessionária,R$ 81990
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2018/2019,35547 km,Itajaí - SC,Concessionária,R$ 46900
HYUNDAI HB20,1.0 12V FLEX VISION MANUAL,N,2021/2022,0 km,Taubaté - SP,Loja,R$ 67900
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2020/2021,4526 km,Limeira - SP,Concessionária,R$ 55900
RENAULT KWID,1.0 12V SCE FLEX LIFE MANUAL,N,2018/2018,67211 km,Brasília - DF,Loja,R$ 30900
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2017/2018,120000 km,Cascavel - PR,Loja,R$ 43800
FIAT MOBI,1.0 EVO FLEX TREKKING MANUAL,N,2021/2022,0 km,São José do Rio Preto - SP,Concessionária,R$ 59764
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2019/2019,33370 km,Cocalzinho de Goiás - GO,Loja,R$ 52900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2019/2019,47000 km,Rio de Janeiro - RJ,Loja,R$ 45700
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,29000 km,Uberaba - MG,Loja,R$ 89900
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,81000 km,Ferraz de Vasconcelos - SP,Loja,R$ 44400
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,47970 km,Curitiba - PR,Concessionária,R$ 44500
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2021/2022,0 km,Vitória - ES,Concessionária,R$ 93190
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2020,5500 km,Paranavaí - PR,Loja,R$ 89990
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2016/2017,71000 km,São José do Rio Preto - SP,Loja,R$ 49900
CHEVROLET ONIX,1.0 TURBO FLEX LT AUTOMÁTICO,Y,2019/2020,25000 km,Atibaia - SP,Loja,R$ 74900
CHEVROLET ONIX,1.0 TURBO FLEX PLUS LTZ MANUAL,N,2020/2020,52221 km,Itumbiara - GO,Loja,R$ 77500
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2018/2019,11000 km,Franca - SP,Loja,R$ 44900
FIAT MOBI,1.0 EVO FLEX WAY ON MANUAL,N,2016/2017,76629 km,São José dos Campos - SP,Loja,R$ 46900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2019/2020,37000 km,Porto Alegre - RS,Loja,R$ 52900
FIAT MOBI,1.0 EVO FLEX WAY MANUAL,N,2018/2018,40000 km,Londrina - PR,Loja,R$ 42588
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,11106 km,São Paulo - SP,Loja,R$ 47900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2018/2018,119553 km,Osasco - SP,Loja,R$ 45890
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2019/2019,85169 km,Jaú - SP,Concessionária,R$ 49900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2019/2020,57737 km,Jaú - SP,Concessionária,R$ 52900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2019/2019,52000 km,Jaú - SP,Concessionária,R$ 49900
CHEVROLET ONIX,1.0 TURBO FLEX LTZ AUTOMÁTICO,Y,2020/2020,0 km,Rio Grande - RS,Loja,R$ 84900
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2019/2020,18000 km,São José do Rio Pardo - SP,Loja,R$ 82900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2017/2018,80109 km,Salvador - BA,Loja,R$ 44900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2018/2018,59396 km,João Monlevade - MG,Concessionária,R$ 44800
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2019/2020,26500 km,Cosmópolis - SP,Loja,R$ 44900
CHEVROLET ONIX,1.4 MPFI LT 8V FLEX 4P MANUAL,N,2016/2017,61000 km,Fortaleza - CE,Loja,R$ 54900
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,28000 km,Serra - ES,Loja,R$ 47800
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2017/2018,58355 km,Porto Alegre - RS,Loja,R$ 43900
CHEVROLET TRACKER,1.2 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,12493 km,Gaspar - SC,Loja,R$ 126900
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2018/2019,79800 km,Atibaia - SP,Loja,R$ 49900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2017/2018,80262 km,Contagem - MG,Loja,R$ 43900
HYUNDAI HB20,1.0 12V FLEX SENSE MANUAL,N,2020/2021,21000 km,Joinville - SC,Concessionária,R$ 61500
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2020/2020,33366 km,Itajaí - SC,Loja,R$ 45290
NISSAN MARCH,1.0 SV 12V FLEX 4P MANUAL,N,2015/2016,50006 km,São Paulo - SP,Loja,R$ 42900
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,9300 km,Itajaí - SC,Loja,R$ 51990
CITROËN C3,1.2 STYLE EDITION 12V FLEX 4P MANUAL,N,2017/2017,47525 km,Sorocaba - SP,Loja,R$ 47900
FIAT ARGO,1.8 E.TORQ FLEX TREKKING AT6,Y,2019/2020,11772 km,João Monlevade - MG,Loja,R$ 82000
VOLKSWAGEN UP,1.0 TSI PEPPER 12V FLEX 4P MANUAL,N,2017/2018,41137 km,Joinville - SC,Loja,R$ 63900
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2019/2020,34550 km,Uberaba - MG,Concessionária,R$ 54900
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,49000 km,Cotia - SP,Loja,R$ 45900
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2019/2019,28000 km,Afonso Cláudio - ES,Loja,R$ 43900
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2020/2020,41164 km,São Carlos - SP,Loja,R$ 78990
CHEVROLET TRACKER,1.2 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,31565 km,Extrema - MG,Loja,R$ 134990
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2019/2019,78000 km,Belo Horizonte - MG,Loja,R$ 52980
FIAT UNO,1.0 FIREFLY FLEX DRIVE 4P MANUAL,N,2018/2018,67979 km,Brasília - DF,Loja,R$ 39900
AUDI E-TRON,ELÉTRICO SPORTBACK PERFORMANCE BLACK QUATTRO,Y,2021/2021,0 km,Londrina - PR,Concessionária,R$ 647590
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2019/2020,38638 km,Feira de Santana - BA,Loja,R$ 57990
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER MIDNIGHT AUTOMÁTICO,Y,2020/2021,6313 km,Chapecó - SC,Concessionária,R$ 97900
CHEVROLET ONIX,1.0 TURBO FLEX AUTOMÁTICO,Y,2020/2020,26472 km,Chapecó - SC,Concessionária,R$ 94900
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2020,11507 km,Cascavel - PR,Loja,R$ 92800
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2019/2020,47333 km,Porto Alegre - RS,Loja,R$ 44590
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2020/2020,41391 km,Campinas - SP,Loja,R$ 44590
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2019/2020,16518 km,Contagem - MG,Loja,R$ 44900
CHEVROLET ONIX,1.0 TURBO FLEX PLUS LT AUTOMÁTICO,Y,2020/2021,3900 km,Recife - PE,Loja,R$ 86900
VOLKSWAGEN UP,1.0 MPI MOVE UP 12V FLEX 4P AUTOMATIZADO,Y,2017/2018,71934 km,São Bernardo do Campo - SP,Loja,R$ 51990
PEUGEOT 208,1.6 16V FLEX ALLURE AT6,Y,2020/2021,10900 km,Catanduva - SP,Loja,R$ 88500
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2018/2018,82096 km,Rio de Janeiro - RJ,Loja,R$ 47800
VOLKSWAGEN TIGUAN,1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC,Y,2019/2019,30000 km,Rio de Janeiro - RJ,Loja,R$ 152990
AUDI Q3,1.4 TFSI FLEX PRESTIGE PLUS S TRONIC,Y,2018/2019,18283 km,Londrina - PR,Concessionária,R$ 145900
VOLKSWAGEN TIGUAN,1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC,Y,2018/2019,55992 km,São Luís - MA,Loja,R$ 154990
AUDI Q5,2.0 TFSI GASOLINA BLACK S TRONIC,Y,2019/2020,26600 km,Americana - SP,Loja,R$ 309900
VOLKSWAGEN TIGUAN,1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC,Y,2019/2020,37000 km,Rio de Janeiro - RJ,Loja,R$ 174990
VOLKSWAGEN TIGUAN,1.4 250 TSI TOTAL FLEX ALLSPACE TIPTRONIC,Y,2019/2019,55000 km,Ponta Grossa - PR,Loja,R$ 148900
JEEP COMPASS,2.0 16V DIESEL TRAILHAWK 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Canoas - RS,Loja,R$ 209990
JAGUAR I-PACE,90 KW EV400 SE AWD ELÉTRICO,Y,2021/2021,0 km,Campinas - SP,Concessionária,R$ 651950
TOYOTA HILUX SW4,2.8 SRX 4X4 7 LUGARES 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,Y,2019/2019,29000 km,Brasília - DF,Loja,R$ 298900
PEUGEOT 3008,1.6 GRIFFE PACK THP 16V GASOLINA 4P AUTOMÁTICO,Y,2018/2019,69000 km,Gaspar - SC,Loja,R$ 159000
PEUGEOT 5008,1.6 GRIFFE PACK THP 16V GASOLINA 4P AUTOMÁTICO,Y,2019/2019,33754 km,São Paulo - SP,Loja,R$ 159790
HYUNDAI IX35,2.0 MPFI 16V FLEX 4P AUTOMÁTICO,Y,2020/2021,7800 km,Osasco - SP,Loja,R$ 125900
JEEP COMPASS,2.0 16V FLEX LONGITUDE AUTOMÁTICO,Y,2019/2020,28000 km,Blumenau - SC,Loja,R$ 132900
JEEP COMPASS,2.0 16V FLEX LIMITED AUTOMÁTICO,Y,2019/2020,16000 km,Itajaí - SC,Loja,R$ 155000
JEEP COMPASS,2.0 16V DIESEL LIMITED 4X4 AUTOMÁTICO,Y,2019/2019,11000 km,Belo Horizonte - MG,Loja,R$ 175900
VOLKSWAGEN TIGUAN,1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC,Y,2020/2020,30300 km,Bom Jesus dos Perdões - SP,Loja,R$ 167900
JEEP COMPASS,2.0 16V FLEX LONGITUDE AUTOMÁTICO,Y,2019/2020,52490 km,Joinville - SC,Loja,R$ 136900
AUDI Q3,1.4 TFSI AMBIENTE FLEX 4P S TRONIC,Y,2018/2018,89000 km,São Caetano do Sul - SP,Loja,R$ 138900
VOLKSWAGEN TIGUAN,1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC,Y,2019/2020,29000 km,São Paulo - SP,Loja,R$ 169990
PEUGEOT 5008,1.6 GRIFFE THP 16V GASOLINA 4P AUTOMÁTICO,Y,2018/2019,28275 km,Balneário Camboriú - SC,Loja,R$ 154900
JEEP COMPASS,1.3 T270 TURBO FLEX LONGITUDE AT6,Y,2021/2022,0 km,São Paulo - SP,Loja,R$ 165000
KIA SPORTAGE,2.0 EX 4X2 16V FLEX 4P AUTOMÁTICO,Y,2019/2020,20000 km,Florianópolis - SC,Loja,R$ 175900
KIA SPORTAGE,2.0 EX 4X2 16V FLEX 4P AUTOMÁTICO,Y,2018/2019,31200 km,Bento Gonçalves - RS,Loja,R$ 152990
CHEVROLET EQUINOX,2.0 16V TURBO GASOLINA PREMIER AWD AUTOMÁTICO,Y,2019/2020,23000 km,Jundiaí - SP,Loja,R$ 183900
VOLKSWAGEN TIGUAN,2.0 350 TSI GASOLINA ALLSPACE R-LINE 4MOTION DSG,Y,2019/2019,27000 km,Goiânia - GO,Loja,R$ 199000
SUZUKI JIMNY,1.3 4SPORT DESERT 4X4 16V GASOLINA 2P MANUAL,N,2019/2020,6000 km,Manaus - AM,Concessionária,R$ 129950
FORD TERRITORY,1.5 ECOBOOST GTDI GASOLINA SEL AUTOMÁTICO,Y,2020/2021,5600 km,Joinville - SC,Loja,R$ 166800
HYUNDAI TUCSON,1.6 16V T-GDI GASOLINA GLS ECOSHIFT,Y,2017/2018,37752 km,João Monlevade - MG,Loja,R$ 119000
JEEP COMPASS,2.0 16V FLEX LIMITED AUTOMÁTICO,Y,2019/2020,21000 km,Blumenau - SC,Concessionária,R$ 153900
TOYOTA HILUX SW4,2.8 SRX 4X4 7 LUGARES 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,Y,2018/2019,36780 km,Pará de Minas - MG,Loja,R$ 294900
VOLKSWAGEN TIGUAN,2.0 350 TSI GASOLINA ALLSPACE R-LINE 4MOTION DSG,Y,2021/2021,0 km,Goiânia - GO,Loja,R$ 259000
TOYOTA HILUX SW4,2.7 SRV 7 LUGARES 4X2 16V FLEX 4P AUTOMÁTICO,Y,2019/2019,20000 km,São João de Meriti - RJ,Loja,R$ 259900
JEEP COMPASS,2.0 16V FLEX LIMITED AUTOMÁTICO,Y,2019/2020,19000 km,Farroupilha - RS,Loja,R$ 151900
JEEP COMPASS,2.0 16V FLEX LIMITED AUTOMÁTICO,Y,2019/2020,9783 km,Canoas - RS,Loja,R$ 149000
TOYOTA HILUX SW4,2.8 SRX 4X4 7 LUGARES 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,Y,2018/2019,35800 km,Blumenau - SC,Loja,R$ 312900
TOYOTA HILUX,2.8 STD 4X4 CD 16V DIESEL 4P MANUAL,N,2019/2019,39000 km,Belém - PA,Loja,R$ 173590
TOYOTA HILUX,2.8 STD 4X4 CD 16V DIESEL 4P MANUAL,N,2018/2019,46867 km,Vitória da Conquista - BA,Loja,R$ 174490
FIAT STRADA,1.4 MPI HARD WORKING CS 8V FLEX 2P MANUAL,N,2019/2020,55467 km,Teresina - PI,Loja,R$ 63990
DODGE RAM,6.7 2500 LARAMIE 4X4 CD I6 TURBO DIESEL 4P AUTOMÁTICO,Y,2019/2019,27000 km,Americana - SP,Loja,R$ 405900
FORD RANGER,3.2 LIMITED 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2019/2020,64017 km,São Bernardo do Campo - SP,Loja,R$ 219990
RAM 2500,6.7 I6 TURBO DIESEL LARAMIE CD 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Ponta Grossa - PR,Loja,R$ 469900
FIAT TORO,1.8 16V EVO FLEX ENDURANCE AT6,Y,2019/2019,40900 km,Feira de Santana - BA,Loja,R$ 94990
FIAT STRADA,1.4 MPI HARD WORKING CS 8V FLEX 2P MANUAL,N,2019/2020,37800 km,Feira de Santana - BA,Loja,R$ 61990
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2018/2019,49000 km,Americana - SP,Loja,R$ 289900
MITSUBISHI L200 TRITON,2.4 16V TURBO DIESEL SPORT HPE TOP CD 4P 4X4 AUTOMÁTICO,Y,2017/2017,999999 km,Casca - RS,Loja,R$ 163900
CHEVROLET S10,2.8 LTZ 4X4 CD 16V TURBO DIESEL 4P AUTOMÁTICO,Y,2019/2020,61000 km,Lucélia - SP,Loja,R$ 210000
RAM 2500,6.7 I6 TURBO DIESEL LARAMIE CD 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Espírito Santo do Pinhal - SP,Loja,R$ 450000
DODGE RAM,6.7 2500 LARAMIE 4X4 CD I6 TURBO DIESEL 4P AUTOMÁTICO,Y,2020/2020,2000 km,Vinhedo - SP,Loja,R$ 458800
TOYOTA HILUX,2.8 D-4D TURBO DIESEL CD SRX 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Teresina - PI,Loja,R$ 320000
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,Y,2021/2021,0 km,Atibaia - SP,Concessionária,R$ 284760
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2021/2021,0 km,Atibaia - SP,Concessionária,R$ 295870
NISSAN FRONTIER,2.3 16V TURBO DIESEL ATTACK CD 4X4 AUTOMÁTICO,Y,2021/2021,0 km,São Paulo - SP,Loja,R$ 196990
FIAT TORO,1.8 16V EVO FLEX ENDURANCE AT6,Y,2019/2020,41001 km,Curitiba - PR,Loja,R$ 97999
RENAULT DUSTER OROCH,2.0 16V HI-FLEX DYNAMIQUE AUTOMÁTICO,Y,2019/2020,43000 km,Siqueira Campos - PR,Loja,R$ 85900
FIAT STRADA,1.4 MPI HARD WORKING CS 8V FLEX 2P MANUAL,N,2019/2019,44000 km,Siqueira Campos - PR,Loja,R$ 57900
CHEVROLET S10,2.8 16V TURBO DIESEL HIGH COUNTRY CD 4X4 AUTOMÁTICO,Y,2021/2022,0 km,Uberlândia - MG,Concessionária,R$ 248760
FORD RANGER,2.2 XLS 4X2 CD 16V DIESEL 4P AUTOMÁTICO,Y,2021/2022,100 km,Curitiba - PR,Concessionária,R$ 183900
RAM 2500,6.7 I6 TURBO DIESEL LARAMIE CD 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Goiânia - GO,Loja,R$ 475000
CHEVROLET S10,2.8 16V TURBO DIESEL LS CS 4X4 MANUAL,N,2021/2022,0 km,Birigui - SP,Loja,R$ 206500
FIAT TORO,2.0 16V TURBO DIESEL ULTRA 4WD AT9,Y,2019/2020,6020 km,Brasília - DF,Loja,R$ 169900
FIAT TORO,2.0 16V TURBO DIESEL ULTRA 4WD AT9,Y,2021/2022,0 km,São Paulo - SP,Loja,R$ 192990
FIAT STRADA,1.4 MPI HARD WORKING CS 8V FLEX 2P MANUAL,N,2019/2020,38000 km,Atibaia - SP,Loja,R$ 63900
FIAT TORO,2.0 16V TURBO DIESEL RANCH 4WD AT9,Y,2021/2021,100 km,São Caetano do Sul - SP,Loja,R$ 217000
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,Y,2019/2019,46000 km,Bebedouro - SP,Loja,R$ 220000
FIAT STRADA,1.4 MPI HARD WORKING CS 8V FLEX 2P MANUAL,N,2019/2020,56657 km,Brasília - DF,Loja,R$ 58900
FIAT TORO,1.3 TURBO 270 FLEX ENDURANCE AT6,Y,2021/2022,0 km,Campinas - SP,Loja,R$ 123900
CHEVROLET S10,2.5 LTZ 4X4 CD 16V FLEX 4P AUTOMÁTICO,Y,2018/2019,34000 km,Piracicaba - SP,Loja,R$ 149000
FIAT TORO,2.0 16V TURBO DIESEL VOLCANO 4WD AT9,Y,2019/2020,26000 km,Tubarão - SC,Loja,R$ 157000
FORD RANGER,2.2 XLS 4X4 CD 16V DIESEL 4P AUTOMÁTICO,Y,2021/2022,0 km,São Paulo - SP,Loja,R$ 209990
FORD RANGER,2.2 XLS 4X4 CD 16V DIESEL 4P AUTOMÁTICO,Y,2021/2022,278 km,São Roque - SP,Concessionária,R$ 209900
FIAT TORO,2.0 16V TURBO DIESEL FREEDOM 4WD AT9,Y,2019/2020,36000 km,Gaspar - SC,Loja,R$ 144900
FIAT TORO,2.0 16V TURBO DIESEL RANCH 4WD AT9,Y,2019/2020,43095 km,São Bento do Sul - SC,Concessionária,R$ 159990
MITSUBISHI L200 TRITON,2.4 16V TURBO DIESEL SPORT HPE CD 4P 4X4 AUTOMÁTICO,Y,2019/2020,22000 km,São Paulo - SP,Loja,R$ 215890
RENAULT DUSTER OROCH,1.6 16V SCE FLEX EXPRESSION MANUAL,N,2021/2022,0 km,Americana - SP,Loja,R$ 90900
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2021/2021,100 km,São Caetano do Sul - SP,Loja,R$ 296000
FIAT TORO,2.0 16V TURBO DIESEL VOLCANO 4WD AT9,Y,2018/2019,58700 km,Salto - SP,Loja,R$ 135900
FIAT TORO,1.8 16V EVO FLEX ENDURANCE AT6,Y,2019/2020,27000 km,Pilar do Sul - SP,Loja,R$ 98900
VOLKSWAGEN SAVEIRO,1.6 MSI ROBUST CS 8V FLEX 2P MANUAL,N,2020/2020,42101 km,São José do Rio Preto - SP,Loja,R$ 62900
TOYOTA HILUX,2.7 SRV 4X2 CD 16V FLEX 4P AUTOMÁTICO,Y,2020/2020,49000 km,Paranavaí - PR,Loja,R$ 189990
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2018/2019,122000 km,Bauru - SP,Concessionária,R$ 219800
FORD RANGER,2.2 XLS 4X4 CD 16V DIESEL 4P AUTOMÁTICO,Y,2022/2022,0 km,Santa Cruz do Sul - RS,Loja,R$ 209900
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2019/2020,52800 km,Blumenau - SC,Concessionária,R$ 251900
FIAT TORO,2.0 16V TURBO DIESEL FREEDOM 4WD AT9,Y,2018/2019,41115 km,Manaus - AM,Loja,R$ 137900
NISSAN FRONTIER,2.3 16V TURBO DIESEL ATTACK CD 4X4 AUTOMÁTICO,Y,2021/2021,23988 km,Americana - SP,Loja,R$ 195000
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2018/2019,63000 km,Ponta Grossa - PR,Loja,R$ 239900
TOYOTA HILUX SW4,2.8 D-4D TURBO DIESEL SRX 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Francisco Beltrão - PR,Loja,R$ 379900
FIAT TORO,2.4 16V MULTIAIR FLEX FREEDOM AT9,Y,2016/2017,73000 km,São Simão - SP,Loja,R$ 89900
FIAT TORO,2.0 16V TURBO DIESEL VOLCANO 4WD AT9,Y,2019/2019,30000 km,Suzano - SP,Loja,R$ 139900
CHEVROLET S10,2.8 LS 4X4 CD 16V TURBO DIESEL 4P MANUAL,N,2018/2019,61830 km,Brasília - DF,Loja,R$ 149990
CHEVROLET S10,2.8 16V TURBO DIESEL LTZ CD 4X4 AUTOMÁTICO,Y,2020/2021,15000 km,Goiânia - GO,Loja,R$ 224800
TOYOTA HILUX,2.8 D-4D TURBO DIESEL CD SRX 4X4 AUTOMÁTICO,Y,2021/2021,0 km,São Paulo - SP,Loja,R$ 394000
TOYOTA HILUX,2.8 D-4D TURBO DIESEL CD SR 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Goiânia - GO,Loja,R$ 269800
FORD RANGER,3.2 XLT 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2018/2019,70339 km,Toledo - PR,Concessionária,R$ 189900
FORD RANGER,3.2 XLT 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2020/2021,24683 km,Toledo - PR,Concessionária,R$ 229900
